# generated by zuna-rs fif_to_csv
# sfreq=256 n_channels=12 n_samples=3840
timestamp,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8
0.000000000e0,2.072138159e-5,8.380033023e-7,1.643945870e-5,-3.873604783e-6,2.145192775e-5,-3.079733506e-5,3.723427653e-5,2.565754585e-5,4.724112659e-5,3.588844993e-5,5.746962779e-5,-1.296403298e-5
3.906250000e-3,2.305489943e-5,-1.330125656e-6,1.422474270e-5,-5.591071840e-6,2.096319076e-5,-3.078292866e-5,3.564483995e-5,2.662376210e-5,4.335689300e-5,3.483748878e-5,6.054067489e-5,-1.373372379e-5
7.812500000e-3,2.768074046e-5,4.437638836e-6,1.433014677e-5,-7.166228215e-7,2.088797919e-5,-3.027435559e-5,3.423418821e-5,2.531815699e-5,4.168120722e-5,3.315745926e-5,6.144127110e-5,-1.270460962e-5
1.171875000e-2,2.574488644e-5,5.618785508e-6,1.532882379e-5,6.663837553e-7,1.997975232e-5,-2.929598122e-5,3.292074689e-5,2.579790089e-5,4.134042319e-5,3.607285907e-5,5.741657151e-5,-9.970951396e-6
1.562500000e-2,2.138236596e-5,1.389197791e-6,1.408707249e-5,-4.328353953e-6,1.992368198e-5,-2.925243462e-5,3.502969776e-5,3.004181599e-5,4.601143519e-5,4.035037273e-5,5.646021236e-5,-1.157961924e-5
1.953125000e-2,1.941345909e-5,1.086994075e-6,1.046654870e-5,-8.564354175e-6,2.097887409e-5,-3.036377893e-5,3.685563206e-5,3.049724546e-5,4.638970495e-5,3.940741954e-5,5.647957732e-5,-1.186943700e-5
2.343750000e-2,2.105776548e-5,2.924029786e-6,1.286733732e-5,-3.953377018e-6,2.234501335e-5,-3.198944978e-5,3.707285578e-5,2.609729199e-5,4.318505307e-5,3.378604015e-5,5.534457887e-5,-1.240597066e-5
2.734375000e-2,2.430214590e-5,5.894093647e-6,1.674471787e-5,-3.917463118e-7,2.186036545e-5,-3.113822095e-5,3.630034917e-5,2.504525946e-5,4.257021646e-5,3.446571645e-5,5.584193059e-5,-1.031782995e-5
3.125000000e-2,2.287019743e-5,3.917335107e-6,1.546656131e-5,-2.754147772e-6,2.195838897e-5,-3.149847907e-5,3.488416769e-5,2.513381332e-5,3.925744750e-5,3.414708044e-5,5.649614104e-5,-1.156766393e-5
3.515625000e-2,1.583379526e-5,-4.009847089e-6,1.105096726e-5,-8.085115041e-6,2.189306360e-5,-3.150077828e-5,3.635287067e-5,2.587247764e-5,4.139819794e-5,3.551537884e-5,5.655378845e-5,-1.407811033e-5
3.906250000e-2,1.961956514e-5,2.301445647e-7,1.338979200e-5,-5.965251148e-6,2.247289558e-5,-3.211382136e-5,3.702091999e-5,2.390886766e-5,4.340909436e-5,3.363278665e-5,5.678837988e-5,-1.470930692e-5
4.296875000e-2,2.067018613e-5,9.737227629e-7,1.580058051e-5,-3.185796004e-6,2.391671478e-5,-3.336196096e-5,3.611802458e-5,1.993911974e-5,4.225212251e-5,3.157978790e-5,5.542058352e-5,-1.438983145e-5
4.687500000e-2,2.009023046e-5,1.121861033e-6,1.625730329e-5,-3.239453008e-6,2.327949187e-5,-3.282365651e-5,3.527609442e-5,2.215337554e-5,4.033709411e-5,3.198490958e-5,5.402264287e-5,-1.239570156e-5
5.078125000e-2,1.672155122e-5,-4.773034107e-6,1.189146951e-5,-1.007385890e-5,2.323421904e-5,-3.222902524e-5,3.350107363e-5,2.338044396e-5,3.750350152e-5,3.164073496e-5,5.445516945e-5,-1.755328594e-5
5.468750000e-2,1.479441744e-5,-5.456062354e-6,8.648600669e-6,-1.138111838e-5,2.308276817e-5,-3.239789658e-5,3.453055251e-5,2.471846892e-5,3.885825208e-5,3.291337998e-5,5.168723146e-5,-2.114275958e-5
5.859375000e-2,1.689028250e-5,-2.082400442e-6,1.595200411e-5,-5.538814548e-6,2.380616934e-5,-3.327959348e-5,3.360272603e-5,2.162730561e-5,3.682505485e-5,2.912438867e-5,4.861650450e-5,-2.136124385e-5
6.250000000e-2,2.021416185e-5,-6.404861779e-7,1.770670497e-5,-5.046182196e-6,2.492198473e-5,-3.411681246e-5,3.637943519e-5,2.183557808e-5,3.951173858e-5,3.165768430e-5,4.987776265e-5,-2.011988545e-5
6.640625000e-2,1.352315849e-5,-7.581953014e-6,1.198090376e-5,-1.221965431e-5,2.544255221e-5,-3.506916255e-5,4.257174805e-5,2.657594450e-5,4.721131336e-5,3.572909554e-5,5.094805965e-5,-2.452332774e-5
7.031250000e-2,2.842729145e-6,-1.321752552e-5,8.374388017e-6,-1.733453973e-5,2.537986256e-5,-3.499364902e-5,4.528450881e-5,3.080978058e-5,5.121090726e-5,4.132019603e-5,4.964375330e-5,-2.675442738e-5
7.421875000e-2,6.273176041e-6,-1.037421043e-5,1.014380268e-5,-1.242481630e-5,2.484189099e-5,-3.400011701e-5,4.499174247e-5,3.108931924e-5,4.995831478e-5,4.240221824e-5,4.701589933e-5,-2.779288843e-5
7.812500000e-2,9.050138942e-6,-8.136361430e-6,1.078026889e-5,-8.042750778e-6,2.421364661e-5,-3.370113336e-5,4.301929584e-5,2.972023867e-5,4.880260894e-5,4.162006371e-5,4.382715633e-5,-2.362158921e-5
8.203125000e-2,9.234333447e-6,-1.101769521e-5,9.082168617e-6,-1.244365285e-5,2.453191701e-5,-3.395574822e-5,4.401140905e-5,3.007306259e-5,5.175566548e-5,4.102783714e-5,4.390874165e-5,-2.518249676e-5
8.593750000e-2,8.086461094e-6,-1.297578365e-5,8.157055163e-6,-1.766085188e-5,2.379598300e-5,-3.296101204e-5,4.211112537e-5,3.055967318e-5,4.730336514e-5,4.050381540e-5,4.467221152e-5,-2.511714774e-5
8.984375000e-2,8.771969078e-6,-7.863280189e-6,1.212178631e-5,-1.130641795e-5,2.342218067e-5,-3.249459769e-5,4.074705794e-5,3.269828449e-5,4.645102672e-5,4.365678615e-5,4.672498835e-5,-2.528291043e-5
9.375000000e-2,1.292015622e-5,-6.169390872e-6,1.317229908e-5,-8.421182429e-6,2.350482828e-5,-3.281435784e-5,4.058827471e-5,3.083262709e-5,4.499500938e-5,4.084117245e-5,4.661357525e-5,-2.204535485e-5
9.765625000e-2,1.137207892e-5,-1.006182083e-5,8.203149264e-6,-1.089995294e-5,2.290761950e-5,-3.238699719e-5,3.993837527e-5,3.118272070e-5,4.288230048e-5,3.858796845e-5,4.494241875e-5,-2.119970850e-5
1.015625000e-1,6.603013844e-6,-1.624626566e-5,9.043684258e-6,-1.528634129e-5,2.272509846e-5,-3.226768604e-5,3.928688238e-5,3.188137271e-5,4.142421676e-5,3.887989078e-5,4.496206748e-5,-2.464251520e-5
1.054687500e-1,8.462623555e-6,-1.366137803e-5,1.419205091e-5,-1.331733529e-5,2.306593888e-5,-3.256581113e-5,3.775215737e-5,3.170966011e-5,3.834881863e-5,3.742114495e-5,4.390970207e-5,-2.552330989e-5
